timestamp,user,enabled_roles,action,entity_category,entity,result,query_id
2026-09-17T15:45:33.426622Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01565_ueuue
2026-09-17T15:45:33.385666Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01564_ueuue
2026-09-17T15:45:33.279074Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154533_01563_ueuue
2026-09-17T15:45:33.276667Z,gov-tha,gov_thailand_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,account_id,country_code,customer_name,mobile_number,investigation_status,risk_score,transaction_i...",ALLOW,20260917_154533_01563_ueuue
2026-09-17T15:45:33.275779Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.account_id,COLUMN_MASK,20260917_154533_01563_ueuue
2026-09-17T15:45:33.275772Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154533_01563_ueuue
2026-09-17T15:45:33.275764Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154533_01563_ueuue
2026-09-17T15:45:33.275754Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154533_01563_ueuue
2026-09-17T15:45:33.275733Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154533_01563_ueuue
2026-09-17T15:45:33.270336Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01563_ueuue
2026-09-17T15:45:33.223256Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01562_ueuue
2026-09-17T15:45:33.179555Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01561_ueuue
2026-09-17T15:45:33.102203Z,gov-biz,gov_business_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[investigation_status,fraud_type]",DENY,20260917_154533_01560_ueuue
2026-09-17T15:45:33.096741Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01560_ueuue
2026-09-17T15:45:33.052362Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01559_ueuue
2026-09-17T15:45:33.006740Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01558_ueuue
2026-09-17T15:45:32.927420Z,gov-biz,gov_business_analyst|public,SELECT,Tables,js_financial_ice.gov_demo.customer_transactions.national_id,DENY,20260917_154532_01557_ueuue
2026-09-17T15:45:32.920617Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01557_ueuue
2026-09-17T15:45:32.876564Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01556_ueuue
2026-09-17T15:45:32.834881Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01555_ueuue
2026-09-17T15:45:32.748259Z,gov-biz,gov_business_analyst|public,SELECT,Tables,js_financial_ice.gov_demo.customer_transactions.*,DENY,20260917_154532_01554_ueuue
2026-09-17T15:45:32.741390Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01554_ueuue
2026-09-17T15:45:32.694583Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01553_ueuue
2026-09-17T15:45:32.651225Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01552_ueuue
2026-09-17T15:45:32.553925Z,gov-biz,gov_business_analyst|public,SHOW,Tables,js_financial_ice.gov_demo.payment_business_summary.*,ALLOW,20260917_154532_01551_ueuue
2026-09-17T15:45:32.544208Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01551_ueuue
2026-09-17T15:45:32.498723Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01550_ueuue
2026-09-17T15:45:32.454408Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01549_ueuue
2026-09-17T15:45:32.330326Z,jirawut,jirawut_demo|public|pystarburst,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,country_code,event_timestamp,channel,risk_score,transaction_status,merchant_category,amount]",ALLOW,20260917_154532_01548_ueuue
2026-09-17T15:45:32.330201Z,gov-biz,gov_business_analyst|public,SELECT,Tables,js_financial_ice.gov_demo.payment_business_summary.*,ALLOW,20260917_154532_01548_ueuue
2026-09-17T15:45:32.315908Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01548_ueuue
2026-09-17T15:45:32.270705Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01547_ueuue
2026-09-17T15:45:32.227761Z,gov-biz,gov_business_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01546_ueuue
2026-09-17T15:45:32.148949Z,gov-fraud,gov_fraud_analyst|public,CREATE,Tables,js_financial_ice.gov_demo.v_bypass.*,DENY,20260917_154532_01545_ueuue
2026-09-17T15:45:32.147767Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01545_ueuue
2026-09-17T15:45:32.089128Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01544_ueuue
2026-09-17T15:45:32.034236Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154532_01543_ueuue
2026-09-17T15:45:31.943669Z,gov-fraud,gov_fraud_analyst|public,CREATE,Roles,All roles,DENY,20260917_154531_01542_ueuue
2026-09-17T15:45:31.943289Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01542_ueuue
2026-09-17T15:45:31.897048Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01541_ueuue
2026-09-17T15:45:31.854083Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01540_ueuue
2026-09-17T15:45:31.771605Z,gov-fraud,gov_fraud_analyst|public,CREATE,Tables,js_financial_ice.gov_demo.evil.*,DENY,20260917_154531_01539_ueuue
2026-09-17T15:45:31.767087Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01539_ueuue
2026-09-17T15:45:31.721269Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01538_ueuue
2026-09-17T15:45:31.671413Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01537_ueuue
2026-09-17T15:45:31.591029Z,gov-fraud,gov_fraud_analyst|public,INSERT,Tables,js_financial_ice.gov_demo.customer_transactions.*,DENY,20260917_154531_01536_ueuue
2026-09-17T15:45:31.586062Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01536_ueuue
2026-09-17T15:45:31.541133Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01535_ueuue
2026-09-17T15:45:31.494995Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01534_ueuue
2026-09-17T15:45:31.385617Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154531_01533_ueuue
2026-09-17T15:45:31.381534Z,gov-fraud,gov_fraud_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,account_id,country_code,customer_name,mobile_number,investigation_status,risk_score,transaction_i...",ALLOW,20260917_154531_01533_ueuue
2026-09-17T15:45:31.380585Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154531_01533_ueuue
2026-09-17T15:45:31.380578Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154531_01533_ueuue
2026-09-17T15:45:31.380568Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154531_01533_ueuue
2026-09-17T15:45:31.380546Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154531_01533_ueuue
2026-09-17T15:45:31.375303Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01533_ueuue
2026-09-17T15:45:31.325666Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01532_ueuue
2026-09-17T15:45:31.276960Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01531_ueuue
2026-09-17T15:45:31.153071Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154531_01530_ueuue
2026-09-17T15:45:31.148390Z,gov-fraud,gov_fraud_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,customer_name,mobile_number,risk_score,national_id,email]",ALLOW,20260917_154531_01530_ueuue
2026-09-17T15:45:31.146991Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154531_01530_ueuue
